GN	Protein Accession #	sig126	sig127N	sig127C	sig128N	sig128C	sig129N	sig129C	sig130N	sig130C	sig131
Smarcd3	sp|Q6P9Z1|SMRD3_MOUSE	328534.198628101	334522.122084817	326902.740495302	356821.164857441	391333.942067666	415196.336137895	347458.952255126	300678.708238724	293604.804809037	292880.084347487
Nkiras1	sp|Q8CEC5|KBRS1_MOUSE	402062.030378505	432202.678702747	388598.289014342	396356.754447149	360061.603871301	357147.501901066	421553.582157645	729252.00018392	691503.504073641	682451.634966518
Med27	sp|Q9DB40|MED27_MOUSE	264066.16067636	245316.841662725	282269.974258428	272972.618307273	300709.655280328	301754.301721246	247093.770985752	175558.16886614	174892.816270848	187844.123517148
Obfc1	sp|Q8K2X3|STN1_MOUSE	352430.040037437	354323.208276942	380869.194517111	356451.315984517	421409.013376373	428667.316621157	400874.081663254	265621.33369772	262975.686793116	273949.56647781
Gfm2	sp|Q8R2Q4|RRF2M_MOUSE	295751.545210567	290471.169599379	287975.33110965	284121.298161333	328523.284407465	308796.85382686	291417.265990301	335602.73820228	330495.095326713	318579.204119881
Cog1	sp|Q9Z160|COG1_MOUSE	845589.946898449	844013.651707001	928439.322304362	836270.946016047	778133.756771549	867687.013847376	797844.803581257	648922.84546698	645741.659955543	629709.539881478
Nfyc	sp|P70353|NFYC_MOUSE	398867.420795839	386461.657647535	396290.373693475	376064.235574969	556997.416092135	526170.618794412	436728.861869923	251154.514076201	279343.001274576	276592.324599726
Mrpl32	sp|Q9DCI9|RM32_MOUSE	292731.965646325	293275.904538362	289346.568209616	267108.558455645	329015.945986054	308519.384292622	291859.048853921	269384.257088518	255333.407113942	259750.069108313
Matk	sp|P41242|MATK_MOUSE	193804.814591949	200853.406148278	193912.744630509	191389.448621042	232466.442130923	221924.706259934	205434.29532161	239137.57357836	123110.250633754	360066.289577394
Matk	tr|D3Z4T5|D3Z4T5_MOUSE	192590.821848712	205407.589606151	191864.552518305	187423.493000158	233200.751348295	225458.606614351	201909.667252757	240224.96822178	121499.984570453	365615.479612435
Commd9	sp|Q8K2Q0|COMD9_MOUSE	234515.347274898	241771.389546894	252591.635277472	233464.577199547	279826.322418132	274985.029124076	243691.640406035	219712.696327317	206384.803709326	206516.296686654
Sv2c	sp|Q69ZS6|SV2C_MOUSE	438986.790364593	473488.757915049	435517.266448603	545332.335221742	343958.942340372	360212.900726758	492502.205290789	881586.796915767	852014.341700494	823551.977135899
Sos1	sp|Q62245|SOS1_MOUSE	541766.631960391	534192.484691545	510141.659005998	493400.537305181	521699.341402051	519192.326047164	537614.015221175	469735.367857142	503898.772395244	484396.411516785
Rragb	sp|Q6NTA4|RRAGB_MOUSE	142339.452279521	145961.48730833	149569.037545408	137101.288080074	135216.019029909	140288.301197776	136942.898071692	141228.63604483	144560.897520889	142584.778469202
Fam172a	sp|Q3TNH5|F172A_MOUSE	217941.805524308	230763.864232184	225878.90226306	223574.871923456	217453.273554374	243348.075509558	189224.301159356	174853.02351426	161088.700566825	164064.1119616
Parp14	sp|Q2EMV9|PAR14_MOUSE	754623.396309001	693431.409582719	824762.8962046	785496.562352071	748663.648662481	692885.220862193	742914.648090692	288663.807282992	293060.231868329	295701.600938994
Samd4b	sp|Q80XS6|SMAG2_MOUSE	441895.624064896	424652.982822396	486392.185785556	430276.166275223	384784.528254839	379035.315836392	388716.313057758	253489.217993586	272716.212651112	266529.382192526
Samd4b	tr|G5E8A7|G5E8A7_MOUSE	1082110.08847439	1052027.96080698	1190750.03394189	1057311.83631428	945304.766562404	946090.759723837	951224.600715473	609249.887665771	635944.23564	639648.095066563
D17h6s53e	sp|Q9Z1R4|CF047_MOUSE	117521.264443673	114638.931833342	112445.88357928	103326.361585334	92864.0183023351	95462.3771788539	93764.2862872071	108824.15658736	120067.757913303	117008.668350966
Mrpl46	sp|Q9EQI8|RM46_MOUSE	362546.365013596	365196.276381584	370854.208270459	362134.914762399	410250.14813326	390507.441159787	385466.276076422	414178.508385272	440113.88603511	417018.177218002
Dzank1	sp|Q8C008|DZAN1_MOUSE	440566.963329863	538857.129182487	413139.97139623	476031.346558447	335079.943654689	374300.054815597	448753.140921734	661044.262000447	676591.344137551	735758.500158198
Osbpl9	sp|A2A8Z1|OSBL9_MOUSE	342024.128443253	341116.20534789	382938.256828763	345583.219005697	324393.251779145	313594.276768942	332070.017284017	283868.970988388	310370.146649992	292418.51934302
Tatdn3	sp|Q3U1C6|TATD3_MOUSE	113361.546837155	108375.515807175	107121.236954496	97292.4852461597	84196.9990131028	93571.2838399697	108985.20017918	119544.286660479	129502.535363427	133217.957231278
Rbm33	sp|Q9CXK9|RBM33_MOUSE	97941.4910547754	96673.9124688282	100627.90037893	94673.0120975646	108972.450757223	113246.521535183	99337.9559790281	79879.6699567577	77664.9751255865	79774.0487950152
NA	sp|Q9D882|CJ035_MOUSE	141676.46912302	163859.741909196	133653.341608894	130940.475327577	115188.04548513	107821.801126424	129565.402814458	213384.071483877	220078.036901653	226875.176010037
Stmn3	sp|O70166|STMN3_MOUSE	467242.872587691	546421.242525898	473079.329033588	511658.761143299	409510.953682964	441395.60397218	406903.623248149	613641.143915936	612582.887910685	675598.127188747
Vhl	sp|P40338|VHL_MOUSE	462802.612147538	458849.78053221	482236.401262182	455605.258113257	627148.255597151	664740.732883778	564630.865311135	395398.543997942	407438.712161952	390170.446509329
Fchsd2	sp|Q3USJ8|FCSD2_MOUSE	495146.008718781	512447.812785508	498555.67169335	505711.484257095	598056.509419791	611885.467984822	531042.471552087	295525.42420322	306114.210253446	311014.536270258
Ppwd1	sp|Q8CEC6|PPWD1_MOUSE	294361.570728869	294623.37248265	290065.523940088	267915.576061025	378876.123864064	400222.052639569	305467.851228189	210235.696613533	201691.563801541	210145.673145933
Phactr4	sp|Q501J7|PHAR4_MOUSE	268373.57651367	264003.001625815	260357.879242918	241050.608027318	281756.222959679	257732.037643464	245716.992872281	203750.365988922	224823.245851852	210370.418288665
Phactr4	sp|Q501J7-2|PHAR4_MOUSE	290079.234172959	285039.9680281	279236.67442175	257114.731981571	303254.971926834	279060.712784028	263670.694859343	216242.101011285	240236.330661735	223565.062286147
Dph5	sp|Q9CWQ0|DPH5_MOUSE	154005.53700179	152521.394880261	153680.062706037	151354.754960373	175642.569807159	171531.729614877	157643.421627117	131375.140248176	139706.490270729	129819.383563261
Ppfia1	tr|B2RXQ2|B2RXQ2_MOUSE	447663.47508584	464035.085156628	452653.670324993	440582.170600068	453994.669418937	440319.495200513	433257.688022776	389984.612508179	403032.471103646	412684.439211176
Ppfia1	tr|S4R1D4|S4R1D4_MOUSE	211179.201179667	219600.262198522	215425.577351138	210440.492668106	214577.172771133	212611.402560445	194732.160627299	189343.142661592	194515.809320056	191271.449880783
Usp8	sp|Q80U87|UBP8_MOUSE	650556.598526047	627761.964666577	622268.141085454	568759.497791471	592466.697138478	570008.194026433	580140.505665518	476507.764271928	487248.515694756	483894.051739603
Ankrd63	sp|A2ARS0|ANR63_MOUSE	111585.068609614	230772.568442389	102299.640288994	94380.8679394994	99556.9479599943	85763.9878229714	96118.1427626485	311693.103707479	384198.287702909	207247.904467793
Pigk	sp|Q9CXY9|GPI8_MOUSE	417525.460620553	441271.440562486	438206.810211098	419638.836667739	393894.692169321	432524.753561246	401578.116459585	352193.553830375	376496.903100986	372845.841107248
Mbnl2	sp|Q8C181|MBNL2_MOUSE	339494.052648855	341247.603964853	349626.182848129	281086.954676813	350704.487329214	342716.457260267	299515.577646653	300068.340306123	306551.880634015	296983.259995846
Mbnl2	sp|Q8C181-2|MBNL2_MOUSE	233383.34090991	235301.152809527	224522.417427588	206153.206500476	263569.211607521	253494.075772622	238175.58106833	196655.349440583	224999.970950585	201189.70595586
Mbnl2	sp|Q8C181-4|MBNL2_MOUSE	339494.052648855	341247.603964853	349626.182848129	281086.954676813	350704.487329214	342716.457260267	299515.577646653	300068.340306123	306551.880634015	296983.259995846
Arhgap17	sp|Q3UIA2|RHG17_MOUSE	585471.243707434	598900.988979151	624025.08735797	534717.217368074	597084.241926212	539837.317927353	553847.774875209	389835.470440497	399996.382832282	394421.145096779
Gcc2	sp|Q8CHG3|GCC2_MOUSE	744716.791668957	758933.559885373	782956.767199715	727805.31772473	780183.710757331	787033.722512305	739229.611766471	675086.768539553	688258.882156583	664754.793872489
Gcc2	tr|B2RSU7|B2RSU7_MOUSE	744909.88321716	759424.821636295	783398.059346484	727443.820610781	781375.785441974	787495.407870951	739581.792603929	674354.373198195	687344.584501017	664025.408835671
Lsm14a	sp|Q8K2F8|LS14A_MOUSE	687311.646906394	692142.442210175	671241.769743301	633862.720674252	832140.866212766	766769.356305374	657790.258537135	579501.135167644	543104.918470973	590263.385901725
Lsm14a	tr|F6X2V9|F6X2V9_MOUSE	596282.248601238	658395.878755022	645358.904344262	565220.672007689	937414.366234891	881218.477347331	568489.288466678	358047.456370068	318463.90002661	353563.761783034
Plxna1	sp|P70206|PLXA1_MOUSE	982405.685496324	1083351.2377121	961780.697432059	1173542.18869383	983425.354069989	912218.263510762	1123097.18643411	1305760.54294719	1321366.61571648	1336272.60196428
Abcb6	sp|Q9DC29|ABCB6_MOUSE	176757.63825227	173757.861801322	187328.027525061	178145.101064559	186377.070841734	203663.289316694	170976.399799267	154854.265266355	152695.096910973	148124.770700595
Rabep2	sp|Q91WG2|RABE2_MOUSE	245452.840048526	258810.890061104	240763.400609198	223841.223055975	270991.045109141	259120.26179443	224869.040944877	185979.674846549	190715.880349861	187623.478310901
Echdc2	sp|Q3TLP5|ECHD2_MOUSE	171716.934475612	152634.33561915	165618.230746916	178006.671884145	168272.037296417	176075.804293726	178075.819878433	147352.457094111	138699.510155301	124377.277520886
Mrpl9	sp|Q99N94|RM09_MOUSE	154728.151704295	163136.370750085	132347.311285764	144842.989903167	169215.839284943	170822.832777519	150601.989526071	162667.361174453	153535.295506082	162496.051203983
Chd1	sp|P40201|CHD1_MOUSE	242497.430790384	244936.184052659	249843.036652114	225883.570350959	269090.546680501	279480.670462188	225049.355440754	170144.656837056	176298.108917029	166803.999430036
Opa3	sp|Q505D7|OPA3_MOUSE	1620086.40587933	1616361.65605353	1573858.76049307	1683294.85135214	1627171.34142921	1615311.24805873	1613161.72572714	2162740.01535218	2202954.91251633	2257795.91573202
Ict1	sp|Q8R035|ICT1_MOUSE	120719.355232166	119190.275410664	123548.718676562	118832.151421713	134259.094782596	131576.238274547	120296.078705619	115200.281608264	125567.672452746	117542.103251244
Fam129b	sp|Q8R1F1|NIBL1_MOUSE	595007.575670648	598989.457723101	594194.068575803	540677.926879177	537459.918767189	479001.06254401	512399.254889685	411277.66928125	393622.3894744	400719.163605625
Tmem11	sp|Q8BK08|TMM11_MOUSE	261337.813677177	263925.361700424	246320.105032058	263264.259306769	248328.134828616	247242.087558775	259775.896218928	299588.388511093	315041.708145434	306659.216645375
Cdk2ap1	sp|O35207|CDKA1_MOUSE	30346.0331309698	28431.964784864	28415.767298078	31927.2170759641	33976.8532944268	30185.2241226794	27579.9824530751	20461.656571641	19530.7295558637	17324.6795260475
Alg9	sp|Q8VDI9|ALG9_MOUSE	117898.718025474	117416.993554612	127803.483702127	121801.323634305	138101.093631287	145167.794936244	126933.444936258	102218.738581619	101595.100747559	102662.669145172
Mospd2	sp|Q9CWP6|MSPD2_MOUSE	394100.12038465	356921.88864225	402808.808002541	321487.020208379	370218.520099983	363490.554253819	347448.036158827	215339.030287948	237481.540254602	220033.892335816
Mospd2	sp|Q9CWP6-2|MSPD2_MOUSE	393147.721152745	357513.547709526	405512.627796249	320424.771739746	374297.681005418	367638.361592341	348676.099860104	213086.628237753	233608.625727974	219705.804970966
Mospd2	sp|Q9CWP6-3|MSPD2_MOUSE	394046.019814954	357955.179987337	404234.969794427	321584.388536933	370861.488170882	364709.504589762	347797.945553805	214149.897515995	236768.172160205	219126.053208703
Sestd1	sp|Q80UK0|SESD1_MOUSE	361456.045200538	348296.30382057	363330.258810588	358957.206539264	336765.811996254	344303.669233532	326231.536059068	375554.149244402	370225.754812911	388617.548220137
Mettl13	sp|Q91YR5|MET13_MOUSE	298185.114875094	309431.950823661	304226.76292227	306717.116530663	325826.662824292	337990.688215293	282931.488369075	233858.578708959	246754.339087459	230790.537817233
Irf2bp2	sp|E9Q1P8|I2BP2_MOUSE	297772.786431299	284054.889516064	311045.872095437	303050.856593879	350947.467936111	359206.054404947	323530.417703662	242498.035791531	230982.475135809	241075.298673121
D2hgdh	sp|Q8CIM3|D2HDH_MOUSE	366586.256502592	353572.256715133	360712.163007698	373148.319336092	377542.405238425	270287.740646574	414952.071599186	335320.111106491	341444.425205383	495309.204355633
Dcaf7	sp|P61963|DCAF7_MOUSE	471103.762443454	489465.433818291	472084.772841207	451144.048735416	504710.739691639	481234.930168835	456034.421279368	407570.866999228	433370.614912097	430748.363726344
Naa30	sp|Q8CES0|NAA30_MOUSE	196747.225526669	182597.224516962	206524.594280721	197772.440052469	211215.238724189	231390.649346205	193747.42255444	150636.66449278	150134.619606462	156584.349671727
Fga	sp|E9PV24|FIBA_MOUSE	500606.384952872	621713.334639145	405813.068976524	457568.681548465	573724.684397421	408482.835740193	342804.304062587	183088.141051125	175164.382853605	176893.885512261
Trim26	sp|Q99PN3|TRI26_MOUSE	516452.027552054	518455.552238345	545528.517543018	486248.557123683	551144.597202919	534736.187167451	495612.433065794	285389.770139503	308095.28478425	283955.458643941
Fam192a	sp|Q91WE2|F192A_MOUSE	648120.879892803	662757.437411668	642488.927917803	588028.397349409	737828.627745948	751138.486300749	625346.612090384	472034.031214921	479798.785963397	505903.826765407
Cherp	sp|Q8CGZ0|CHERP_MOUSE	850466.314156265	833567.746876968	842368.167525794	836380.965433186	1021962.53838162	1016296.14290401	840464.276625124	651193.744130028	651945.144532978	691299.362944188
Rhot1	sp|Q8BG51|MIRO1_MOUSE	1094081.73601279	1191482.08038601	1077419.62048235	1143480.25250872	1045103.33550551	1061305.57300202	1140077.12914897	1416555.56398801	1406151.04837218	1359870.25035636
Rhot1	sp|Q8BG51-2|MIRO1_MOUSE	1087941.10453516	1195713.78386044	1070912.4136425	1137486.5104495	1045977.84790907	1050745.0925257	1146534.87497544	1434805.61841945	1411804.86018011	1359193.0690604
Rhot1	sp|Q8BG51-3|MIRO1_MOUSE	1096589.39498122	1220282.97373332	1080571.71497635	1129485.4099951	1045492.915575	1046685.94967501	1134536.64389052	1437607.46416451	1410000.52586071	1366140.04515544
Cdk14	sp|O35495|CDK14_MOUSE	558104.106518822	500648.476221342	510612.824620989	605603.794356988	450940.33727006	452176.692800758	545387.611261404	764456.502309171	719456.062833541	771040.877397518
Arhgef11	tr|Q68FM7|Q68FM7_MOUSE	845451.260736924	856013.524902172	800897.700212186	867878.520764978	719169.411240398	708199.326657753	770658.617001193	910282.838036149	902033.111898088	922852.129226752
Rnf40	sp|Q3U319|BRE1B_MOUSE	387257.23610048	384855.021549432	386186.628031371	381641.079925396	474736.972889744	494747.497093589	377725.649275043	292986.950570734	295612.882143253	298332.94763214
Abcg2	sp|Q7TMS5|ABCG2_MOUSE	318344.979644183	331213.536295685	349104.259257574	326928.428973493	384488.253256956	388167.37546542	364193.149395169	309517.986925618	305774.441717824	316268.594825295
Ccdc12	sp|Q8R344|CCD12_MOUSE	167198.945443606	183006.047330901	167641.657932481	166218.81936786	240929.418131	243314.758549709	170102.397493095	101180.2736558	112147.67861634	112128.566632565
Gtf2f1	sp|Q3THK3|T2FA_MOUSE	263011.517361173	247326.931436296	267837.744395677	252401.133967868	293511.250496042	304021.666396142	243813.502788636	164558.198742717	168244.037743051	167587.447726643
Dzip3	sp|Q7TPV2|DZIP3_MOUSE	194427.635369898	194811.461028507	199134.423111968	187953.01045455	198396.276164108	208337.226307381	181631.644986981	149019.853910347	159482.517378857	159936.668615462
Dzip3	sp|Q7TPV2-2|DZIP3_MOUSE	185161.621372231	183549.817899153	188294.962498769	177328.248483649	190202.705529281	199051.995859584	175983.097943499	139664.174274886	147408.229703888	152019.542970968
Dzip3	tr|F6Z1P8|F6Z1P8_MOUSE	167013.655632205	174396.645146547	158330.360214388	165620.721050463	181722.279336807	182059.692189276	149971.265231571	136480.671578217	145276.669207955	137683.152350695
Tor1b	sp|Q9ER41|TOR1B_MOUSE	264127.22714793	244751.000582235	295619.047754809	255128.065237678	300877.133679278	297973.13590517	264815.434424344	162626.751463043	166939.785238629	171742.503825327
Glg1	sp|Q61543|GSLG1_MOUSE	988187.807169197	1026341.48880202	985593.817256293	930678.686029578	1326429.39971523	1310310.53490085	1061275.82900998	791698.841616981	804281.903207556	791634.70770335
Fam175b	sp|Q3TCJ1|F175B_MOUSE	558615.084848997	606887.869402608	533944.683375788	583310.384447132	632964.286086198	608193.388247815	589969.357750327	654146.209223375	648843.204994035	648170.249934723
Pdpr	sp|Q7TSQ8|PDPR_MOUSE	847938.752773176	841589.318206605	801603.516941579	834634.660720612	692328.524893373	678861.240896545	780795.333340201	1059411.33526008	1064187.56550595	1011294.85779378
Begain	sp|Q68EF6|BEGIN_MOUSE	183206.885109542	171265.712738337	164900.614497559	225394.371356875	173276.628100155	159012.434085781	183998.115862531	311420.551616447	272525.222960685	280359.033558259
Krr1	sp|Q8BGA5|KRR1_MOUSE	259296.651907726	244600.767363919	252996.598743882	235328.376310315	304883.229529985	326395.730882302	226181.703745307	131989.862500655	148703.191176994	147320.136507906
Xrcc5	sp|P27641|XRCC5_MOUSE	950726.187607316	1036217.98942518	1031138.54333185	926731.970154427	1148184.95785691	1225095.97983749	862925.876162994	434428.270363769	460107.014041527	445572.746059011
Gmppa	sp|Q922H4|GMPPA_MOUSE	345970.893720189	328751.910870904	339172.613975587	327617.867212617	336706.174528281	298510.350758484	321951.31328639	303405.018024561	320908.607486012	305975.862404285
Arrb2	sp|Q91YI4|ARRB2_MOUSE	1543499.67548442	1504088.4427853	1666755.20570713	1635314.15282757	1448552.45765165	1452430.78743652	1514177.4076656	1314225.88142381	1348735.49203199	1357873.67373432
Cog5	sp|Q8C0L8|COG5_MOUSE	365611.284641302	364698.850243423	388579.225426137	340773.281741282	329399.272784893	334196.179389664	328626.333377695	275040.639951397	291644.492834601	277462.350254153
Mical1	sp|Q8VDP3|MICA1_MOUSE	319189.067760604	334282.464071042	334497.885410135	303300.336450981	368627.489907389	398547.904731894	306828.355433771	219745.619058873	219602.860061803	215305.007882619
Cand2	sp|Q6ZQ73|CAND2_MOUSE	863453.557554064	959040.753181969	934281.641186265	928376.32632291	1002134.65194134	1068493.92656766	894726.589947791	510793.939378097	528253.576216949	530921.282244529
Ptprf	sp|A2A8L5|PTPRF_MOUSE	1043632.97628264	1098228.62329152	1108573.0652229	1111182.32536634	942683.419829187	917098.086838971	1072436.28315435	993493.787406465	983241.252008381	1048015.7812561
Ptprf	tr|F6Y3V0|F6Y3V0_MOUSE	737830.922954577	779532.904738765	786504.558095083	793312.32576981	646185.992702499	642165.463272266	742325.409282833	749559.166357589	746631.711750906	795379.62267947
Skiv2l	tr|Q6NZR5|Q6NZR5_MOUSE	358374.858400128	357600.274341015	356692.13659931	340356.439585449	372946.105763019	375884.955312899	347788.402135976	296516.847774352	306930.600680385	300282.638898303
Unc119	sp|Q9Z2R6|U119A_MOUSE	95921.8291184314	104074.196962713	92874.8351899287	89719.059316538	123099.54571811	115785.243042796	111951.842051984	96139.9603693235	95072.8825855007	96954.1158463152
Gabrg2	sp|P22723|GBRG2_MOUSE	847807.934858421	1010763.09090034	778398.065685332	987990.390905489	800839.736867513	753930.883919233	921032.209520367	1701339.59149443	1753673.29611005	1680320.46866176
Gabrg2	sp|P22723-2|GBRG2_MOUSE	870421.691352075	977849.51079411	783194.53218614	975140.919674486	826071.493984675	751865.259265138	917999.702871058	1703569.86066712	1739466.79148409	1673996.42311402
4933434E20Rik	tr|H7BX33|H7BX33_MOUSE	186952.484736296	190912.766905169	195165.650424849	208330.139945255	179299.623215033	179519.831108067	196434.293152904	235221.170436724	223827.184982735	235063.627386061
NA	sp|Q8R092-2|CA043_MOUSE	185530.040681935	196574.495584057	190969.905496005	209548.413181437	183788.557011486	184227.108232815	192826.729967227	231566.487571531	207441.829988839	231663.986529737
Grm1	sp|P97772|GRM1_MOUSE	474662.882856802	463543.504058143	520431.426887776	500995.158705227	328754.796704789	308904.298410222	476218.395969407	477554.114880258	468264.718163246	483857.57000973
Taf9b	sp|Q6NZA9|TAF9B_MOUSE	133751.913890796	120650.787803937	128466.282005217	120213.002481833	176467.698300424	172294.518771571	130546.09947183	95535.6222854266	93472.4275461498	80899.1412512741
Rtkn	sp|Q8C6B2|RTKN_MOUSE	157690.470359425	157441.224173925	154584.05931741	134934.528983333	137098.387874928	128512.74924662	120147.954497814	106967.211632622	111742.5601505	104968.459116454
Rtkn	sp|Q8C6B2-2|RTKN_MOUSE	158758.098916397	158153.115431051	159834.612858744	136807.817805428	138895.339533944	130094.209096513	121080.787400317	102597.717044571	109194.329625394	102190.539613207
Rtkn	tr|D3Z4N1|D3Z4N1_MOUSE	104451.906482693	105801.810943771	95171.1105074728	82656.6211587173	81925.8907330012	75421.2731286944	75881.4332523971	65661.2952691445	75468.2176785216	67174.0759438425
Slc30a9	sp|Q5IRJ6|ZNT9_MOUSE	1347429.74824033	1368832.89663756	1252412.69533052	1290900.42529855	1200644.96973986	1189754.70718541	1285877.01842194	1539781.30261834	1531690.6390907	1515596.2018217
Sep15	sp|Q9ERR7|SEP15_MOUSE	527482.862707176	530864.229502876	526297.536817829	526084.732184748	648391.992153265	651140.012945044	577083.227144227	360054.682018165	361773.778961133	377071.86098925
Mpv17	sp|P19258|MPV17_MOUSE	426523.39412307	407743.723816444	426498.048722156	395299.898128127	515111.832928638	534898.674551007	499754.254146892	437015.040774137	446303.232811772	487852.537327401
Ogfr	sp|Q99PG2|OGFR_MOUSE	1139908.8736899	1214388.28086704	1230731.77298075	1114563.73345162	1490968.07220053	1545897.86604414	1274635.59621743	709033.134229996	711810.966296156	738721.812410518
Lgi2	sp|Q8K4Z0|LGI2_MOUSE	245527.678569687	236755.834679178	191814.379992102	182376.247123693	143573.321223501	161708.98783466	192852.800220218	289806.197158095	297067.992378792	301513.871874302
Lgi2	sp|Q8K4Z0-2|LGI2_MOUSE	242515.78042233	235018.887305576	193807.320329821	182247.016770604	143724.93223292	161553.179585471	192838.06558431	289662.005988131	299206.901022339	304565.624833292
Dagla	sp|Q6WQJ1|DGLA_MOUSE	1194489.52068362	1001229.58039391	1052598.56462773	1292685.17153612	1109549.81676678	995140.732329785	1171589.00864891	1581417.09730139	1526940.33782021	1449693.05525436
Narfl	sp|Q7TMW6|NARFL_MOUSE	193802.664910792	188448.49497738	201004.129169775	186231.276440903	221160.110211234	205126.439678413	218329.073841753	183189.4192642	174995.270769321	175667.495644001
Spata5	sp|Q3UMC0|SPAT5_MOUSE	3028569.86126004	2850278.4562148	3008491.89384863	2930294.74034768	3550911.18315762	3388675.44095769	3146272.6725212	2296719.00859338	2356757.42227904	2388044.58651429
Stk26	sp|Q99JT2|STK26_MOUSE	1114961.42985639	1103978.27072067	1040899.88468976	1077996.00756923	1070836.25158036	980761.092304035	1132830.35183647	1245425.35543031	1311478.3076136	1209063.16222078
Tor1aip1	sp|Q921T2|TOIP1_MOUSE	587368.852275091	563415.879481463	636500.374186522	578133.020402703	882328.625186244	940572.393650808	730725.588244079	339659.362814842	349287.549333299	357200.212171812
Cd2ap	sp|Q9JLQ0|CD2AP_MOUSE	271441.049059081	254446.184994091	264102.899561401	213580.457741398	300871.270434038	240577.115716732	253844.885263427	158963.194786256	168833.790772647	156199.406357149
Tfip11	sp|Q9ERA6|TFP11_MOUSE	469104.209684699	484293.828360027	465912.796206166	438321.254540978	535911.919289932	552724.860564446	438963.594709419	357962.649264933	358745.299564728	362983.940042424
Suox	sp|Q8R086|SUOX_MOUSE	409721.051194255	414937.123418302	404071.217416378	389287.465660766	415984.980437793	388346.453337429	414585.087071261	403144.254203453	409364.333472682	398183.617505015
Fars2	sp|Q99M01|SYFM_MOUSE	118499.115511723	125618.479480731	118562.937624507	107487.472644734	129657.025279435	128245.261421205	124214.735370657	116102.455314402	119797.307681286	129146.428844999
Golph3l	sp|Q8R088|GLP3L_MOUSE	139669.300205069	139610.928283419	138813.395976456	128204.471153308	153505.515447697	141298.618956314	143696.447289337	113504.18575157	111939.355794722	112583.568224015
Xpnpep3	sp|B7ZMP1|XPP3_MOUSE	253577.403596693	254930.288015278	255513.242003256	263673.687231775	258099.887910873	252009.730472831	262362.780809351	312289.628605902	304265.914736378	287866.115160479
Prelp	sp|Q9JK53|PRELP_MOUSE	147297.238823349	178099.552603473	130262.950206975	144537.208788446	148555.830886678	179514.511787844	137463.29394803	231202.65106061	208372.469544935	223144.197131882
Rbm12	sp|Q8R4X3|RBM12_MOUSE	477748.414706566	471692.242693048	481737.973274193	452870.686526419	542673.041232115	553070.297602602	444125.355094274	326540.347539718	326385.260202835	332844.931345357
Max	sp|P28574|MAX_MOUSE	86736.6128206333	84681.0826221815	95853.2654517889	92645.6044879474	140570.583229124	131419.759296763	93983.52856973	41522.951377886	38308.3829555315	38644.6340981243
Max	tr|B2RS19|B2RS19_MOUSE	86736.6128206333	84681.0826221815	95853.2654517889	92645.6044879474	140570.583229124	131419.759296763	93983.52856973	41522.951377886	38308.3829555315	38644.6340981243
Wdr26	sp|Q8C6G8|WDR26_MOUSE	425655.940985221	448057.496541489	466673.21299633	431462.024566445	462738.484307367	463252.85699134	426094.463213749	424299.392281147	431736.620600413	426533.790662215
Spire1	sp|Q52KF3|SPIR1_MOUSE	454570.206482137	459347.199885993	454149.338926883	458983.926434341	475788.176783776	483214.69002319	519293.84714761	599164.120121809	563329.479651395	559481.664454325
Spire1	sp|Q52KF3-3|SPIR1_MOUSE	453979.220970149	459399.168325014	453960.303253505	457461.44687697	478354.964737366	485605.647539793	520596.714707672	597594.024889946	562154.256133077	557455.782824617
Spire1	tr|D3YTL8|D3YTL8_MOUSE	453979.220970149	460922.508458066	454001.157204501	456140.685754054	480197.253552532	486124.519871859	520305.395042619	594125.384904951	560569.644393336	555258.282493449
Kcnma1	sp|Q08460|KCMA1_MOUSE	299595.764450695	288827.475274457	326119.417422574	366673.662662033	291837.746167424	294770.420059095	337237.565433225	552762.853473581	520481.089578377	506422.026562941
Kcnma1	sp|Q08460-2|KCMA1_MOUSE	302364.995909174	293586.690198137	328133.230205688	366815.996735444	292583.220034245	295658.791256995	336745.553044016	551619.713725988	517898.397425198	506337.39290606
Kcnma1	tr|J3QMT8|J3QMT8_MOUSE	300192.513149268	288335.881642531	326080.037187992	366336.562638607	291456.483992698	294649.963175788	336779.763669827	553988.81927547	520346.319549896	507275.40876008
Kcnma1	tr|F6V0P5|F6V0P5_MOUSE	301727.497180218	292290.662866596	326590.02336214	364991.210044184	294994.680289508	299480.442421994	336419.781913667	549283.280451282	515747.042186445	503166.035088622
Fuom	sp|Q8R2K1|FUCM_MOUSE	218956.117712111	228594.44371584	213412.635696598	231982.412783137	299992.624388673	291417.921813317	269619.168800335	258317.802271199	246172.048848529	263424.599836837
Slain1	sp|Q68FF7|SLAI1_MOUSE	366515.04718859	327314.339154895	379000.064107135	294401.547489829	297986.586391259	276211.814329991	269965.942565005	191525.768449048	207820.97242386	210318.214458465
Slain1	tr|F7D4S5|F7D4S5_MOUSE	346437.604347373	315610.543862881	352552.701861314	291395.008438175	289082.668393897	274691.361060597	268335.361289064	207410.524345634	216164.141747471	225284.276975541
Aif1l	sp|Q9EQX4|AIF1L_MOUSE	312669.438938371	318214.139548939	297876.041409506	285836.426758105	454135.161526201	496873.223868849	360071.641410989	233081.961442215	232541.920865238	239850.917072651
